"filename", "language", "PHP", "XML", "JavaScript", "JSON", "CSS", "Markdown", "HTML", "C++", "C", "CSV", "SCSS", "Perl", "YAML", "Properties", "Less", "Shell Script", "Log", "comment", "blank", "total"
"d:\Downloads\public_html\.well-known\autoconfig\mail\autodiscover.xml", "XML", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 31
"d:\Downloads\public_html\Default.html", "HTML", 0, 0, 0, 0, 0, 0, 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 170
"d:\Downloads\public_html\index.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 3, 18
"d:\Downloads\public_html\readme.html", "HTML", 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 98
"d:\Downloads\public_html\wp-activate.php", "PHP", 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 27, 221
"d:\Downloads\public_html\wp-admin\about.php", "PHP", 241, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 39, 303
"d:\Downloads\public_html\wp-admin\admin-ajax.php", "PHP", 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 20, 203
"d:\Downloads\public_html\wp-admin\admin-footer.php", "PHP", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 12, 120
"d:\Downloads\public_html\wp-admin\admin-functions.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 16
"d:\Downloads\public_html\wp-admin\admin-header.php", "PHP", 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 116, 48, 305
"d:\Downloads\public_html\wp-admin\admin-post.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 9, 73
"d:\Downloads\public_html\wp-admin\admin.php", "PHP", 195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 154, 61, 410
"d:\Downloads\public_html\wp-admin\async-upload.php", "PHP", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 18, 131
"d:\Downloads\public_html\wp-admin\authorize-application.php", "PHP", 241, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 31, 309
"d:\Downloads\public_html\wp-admin\comment.php", "PHP", 295, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 53, 372
"d:\Downloads\public_html\wp-admin\credits.php", "PHP", 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 28, 157
"d:\Downloads\public_html\wp-admin\css\about-rtl.css", "CSS", 0, 0, 0, 0, 1109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 257, 1428
"d:\Downloads\public_html\wp-admin\css\about-rtl.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\about.css", "CSS", 0, 0, 0, 0, 1109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 257, 1427
"d:\Downloads\public_html\wp-admin\css\about.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\admin-menu-rtl.css", "CSS", 0, 0, 0, 0, 752, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 144, 927
"d:\Downloads\public_html\wp-admin\css\admin-menu-rtl.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\admin-menu.css", "CSS", 0, 0, 0, 0, 752, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 144, 926
"d:\Downloads\public_html\wp-admin\css\admin-menu.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\code-editor-rtl.css", "CSS", 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 78
"d:\Downloads\public_html\wp-admin\css\code-editor-rtl.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\code-editor.css", "CSS", 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 77
"d:\Downloads\public_html\wp-admin\css\code-editor.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\color-picker-rtl.css", "CSS", 0, 0, 0, 0, 149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30, 184
"d:\Downloads\public_html\wp-admin\css\color-picker-rtl.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\color-picker.css", "CSS", 0, 0, 0, 0, 149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30, 183
"d:\Downloads\public_html\wp-admin\css\color-picker.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\colors\_admin.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 590, 0, 0, 0, 0, 0, 0, 23, 149, 762
"d:\Downloads\public_html\wp-admin\css\colors\_mixins.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 4, 5, 38
"d:\Downloads\public_html\wp-admin\css\colors\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 4, 22, 66
"d:\Downloads\public_html\wp-admin\css\colors\blue\colors-rtl.css", "CSS", 0, 0, 0, 0, 595, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 118, 740
"d:\Downloads\public_html\wp-admin\css\colors\blue\colors-rtl.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\colors\blue\colors.css", "CSS", 0, 0, 0, 0, 595, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 118, 740
"d:\Downloads\public_html\wp-admin\css\colors\blue\colors.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\colors\blue\colors.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\Downloads\public_html\wp-admin\css\colors\coffee\colors-rtl.css", "CSS", 0, 0, 0, 0, 564, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 112, 703
"d:\Downloads\public_html\wp-admin\css\colors\coffee\colors-rtl.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\colors\coffee\colors.css", "CSS", 0, 0, 0, 0, 564, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 112, 703
"d:\Downloads\public_html\wp-admin\css\colors\coffee\colors.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\colors\coffee\colors.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\Downloads\public_html\wp-admin\css\colors\ectoplasm\colors-rtl.css", "CSS", 0, 0, 0, 0, 595, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 118, 740
"d:\Downloads\public_html\wp-admin\css\colors\ectoplasm\colors-rtl.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\colors\ectoplasm\colors.css", "CSS", 0, 0, 0, 0, 595, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 118, 740
"d:\Downloads\public_html\wp-admin\css\colors\ectoplasm\colors.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\colors\ectoplasm\colors.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\Downloads\public_html\wp-admin\css\colors\light\colors-rtl.css", "CSS", 0, 0, 0, 0, 609, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 120, 758
"d:\Downloads\public_html\wp-admin\css\colors\light\colors-rtl.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\colors\light\colors.css", "CSS", 0, 0, 0, 0, 609, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 120, 758
"d:\Downloads\public_html\wp-admin\css\colors\light\colors.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\colors\light\colors.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 2, 8, 39
"d:\Downloads\public_html\wp-admin\css\colors\midnight\colors-rtl.css", "CSS", 0, 0, 0, 0, 595, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 118, 740
"d:\Downloads\public_html\wp-admin\css\colors\midnight\colors-rtl.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\colors\midnight\colors.css", "CSS", 0, 0, 0, 0, 595, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 118, 740
